Code,ZipLow,ZipHigh
AR,4740,4740
AR,4750,4750
AR,5101,5101
AR,5104,5104
AR,5111,5111
AR,5113,5113
AR,5116,5117
AR,5119,5119
AR,5121,5122
AR,5124,5130
AR,5133,5133
AR,5137,5139
AR,5141,5141
AR,5143,5143
AR,5146,5146
AR,5151,5152
AR,5155,5155
AR,5158,5158
AR,5162,5168
AR,5172,5172
AR,5174,5174
AR,5176,5179
AR,5182,5184
AR,5186,5187
AR,5189,5189
AR,5194,5194
AR,5196,5196
AR,5200,5201
AR,5209,5210
AR,5214,5214
AR,5220,5220
AR,5223,5223
AR,5225,5225
AR,5236,5236
AR,5238,5238
AR,5248,5248
AR,5250,5250
AR,5253,5253
AR,5260,5260
AR,5270,5270
AR,5274,5275
AR,5280,5280
AR,5284,5284
AR,5291,5291
AR,5295,5295
AR,5301,5303
AR,5310,5310
AR,5315,5316
AR,5340,5340
AR,5345,5345
AR,5350,5350
AR,5355,5355
AR,5357,5357
AR,5360,5360
AR,5372,5372
AR,5374,5374
AR,5380,5380
AR,5383,5386
AR,5401,5403
AR,5405,5405
AR,5407,5408
AR,5411,5411
AR,5413,5413
AR,5417,5419
AR,5421,5421
AR,5423,5425
AR,5427,5428
AR,5435,5435
AR,5439,5439
AR,5441,5444
AR,5460,5460
AR,5465,5468
AR,5470,5470
AR,5473,5473
AR,5525,5525
AR,5529,5529
AR,5531,5535
AR,5539,5539
AR,5541,5545
AR,5557,5557
AR,5559,5561
AR,5565,5565
AR,5567,5571
AR,5573,5573
AR,5577,5577
AR,5579,5579
AR,5581,5581
AR,5584,5585
AR,5589,5590
AR,5592,5592
AR,5594,5594
AR,5603,5604
AR,5609,5609
AR,5613,5613
AR,5620,5622
AR,5632,5632
AR,5634,5634
AR,5701,5703
AR,5705,5705
AR,5711,5711
AR,5713,5713
AR,5719,5719
AR,5722,5722
AR,5730,5731
AR,5736,5736
AR,5738,5738
AR,5750,5750
AR,5759,5759
AR,5770,5770
AR,5773,5773
AR,5803,5803
AR,5805,5806
AR,5809,5809
AR,5811,5811
AR,5813,5815
AR,5817,5817
AR,5823,5823
AR,5825,5825
AR,5829,5829
AR,5837,5837
AR,5841,5841
AR,5843,5843
AR,5845,5845
AR,5847,5848
AR,5850,5850
AR,5854,5854
AR,5856,5856
AR,5862,5862
AR,5864,5864
AR,5870,5871
AR,5873,5873
AR,5875,5877
AR,5881,5881
AR,5885,5885
AR,5887,5887
AR,5889,5889
AR,5891,5891
AR,5901,5901
AR,5903,5903
AR,5911,5911
AR,5913,5913
AR,5915,5915
AR,5917,5921
AR,5923,5923
AR,5925,5925
AR,5927,5927
AR,5929,5929
AR,5932,5933
AR,5935,5936
AR,5940,5941
AR,5943,5943
AR,5945,5945
AR,5947,5947
AR,5949,5949
AR,5960,5963
AR,5967,5967
AR,5972,5972
AR,5974,5974
AR,5980,5980
AR,5984,5984
AR,5986,5988
AR,6000,6000
AR,6002,6003
AR,6005,6005
AR,6007,6007
AR,6009,6009
AR,6013,6013
AR,6015,6016
AR,6030,6030
AR,6032,6032
AR,6034,6036
AR,6050,6050
AR,6053,6053
AR,6062,6062
AR,6064,6065
AR,6070,6070
AR,6073,6073
AR,6075,6077
AR,6100,6100
AR,6103,6103
AR,6120,6120
AR,6125,6125
AR,6127,6127
AR,6132,6132
AR,6140,6140
AR,6200,6200
AR,6205,6205
AR,6207,6207
AR,6213,6214
AR,6216,6216
AR,6220,6221
AR,6223,6223
AR,6225,6225
AR,6230,6231
AR,6237,6239
AR,6241,6243
AR,6270,6273
AR,6275,6276
AR,6301,6303
AR,6305,6307
AR,6309,6311
AR,6313,6313
AR,6315,6315
AR,6319,6319
AR,6325,6326
AR,6330,6331
AR,6333,6333
AR,6335,6335
AR,6339,6339
AR,6343,6343
AR,6346,6346
AR,6352,6352
AR,6354,6354
AR,6360,6360
AR,6365,6366
AR,6369,6369
AR,6380,6380
AR,6385,6387
AR,6400,6401
AR,6403,6403
AR,6405,6405
AR,6409,6409
AR,6411,6411
AR,6417,6417
AR,6424,6424
AR,6430,6430
AR,6435,6435
AR,6439,6439
AR,6441,6441
AR,6450,6450
AR,6455,6455
AR,6466,6466
AR,6471,6472
AR,6474,6474
AR,6500,6501
AR,6530,6530
AR,6533,6534
AR,6550,6553
AR,6555,6555
AR,6600,6608
AR,6612,6612
AR,6620,6625
AR,6628,6628
AR,6640,6642
AR,6646,6646
AR,6660,6660
AR,6663,6663
AR,6701,6701
AR,6706,6707
AR,6709,6719
AR,6721,6725
AR,6734,6734
AR,6740,6740
AR,7003,7003
AR,7005,7005
AR,7007,7008
AR,7011,7011
AR,7020,7020
AR,7100,7101
AR,7103,7103
AR,7105,7109
AR,7111,7111
AR,7113,7114
AR,7116,7118
AR,7130,7130
AR,7150,7150
AR,7160,7160
AR,7163,7163
AR,7165,7174
AR,7200,7200
AR,7203,7203
AR,7214,7214
AR,7220,7220
AR,7223,7223
AR,7240,7240
AR,7245,7246
AR,7249,7249
AR,7260,7260
AR,7263,7263
AR,7300,7300
AR,7303,7303
AR,7311,7311
AR,7318,7318
AR,7400,7400
AR,7402,7404
AR,7406,7406
AR,7414,7414
AR,7500,7501
AR,7503,7503
AR,7507,7507
AR,7509,7511
AR,7513,7513
AR,7521,7521
AR,7530,7530
AR,7540,7540
AR,7545,7545
AR,7602,7607
AR,7609,7609
AR,7612,7612
AR,7620,7631
AR,7635,7635
AR,7637,7637
AR,8003,8003
AR,8103,8103
AR,8105,8105
AR,8107,8109
AR,8111,8111
AR,8117,8119
AR,8122,8123
AR,8126,8126
AR,8132,8132
AR,8134,8136
AR,8138,8138
AR,8142,8144
AR,8146,8146
AR,8148,8148
AR,8150,8150
AR,8153,8154
AR,8156,8156
AR,8158,8158
AR,8160,8160
AR,8162,8162
AR,8164,8164
AR,8168,8168
AR,8170,8172
AR,8174,8174
AR,8180,8180
AR,8183,8183
AR,8200,8201
AR,8204,8204
AR,8206,8206
AR,8208,8208
AR,8303,8303
AR,8305,8307
AR,8309,8309
AR,8315,8316
AR,8318,8318
AR,8324,8324
AR,8326,8326
AR,8328,8328
AR,8332,8332
AR,8334,8334
AR,8336,8336
AR,8340,8340
AR,8345,8345
AR,8347,8347
AR,8349,8350
AR,8353,8353
AR,8360,8361
AR,8363,8364
AR,8366,8366
AR,8370,8371
AR,8405,8405
AR,8407,8407
AR,8418,8418
AR,8430,8430
AR,8504,8504
AR,8508,8508
AR,8512,8512
AR,9105,9105
AR,9107,9107
AR,9111,9111
AR,9120,9121
AR,9200,9200
AR,9203,9203
AR,9207,9207
